Número,Título,Autor,Co-autor,Ano de Publicação,Título original,Tradutor,Co-tradutor,Ano de edição,index
139,A Máquina Divina 2º volume,Martin Caidin,,1969,The God Machine,Eurico da Fonseca,,1968,140
140,Projecto Animal,Charles Eric Maine,,1969,BEAST,Eurico da Fonseca,,1966,141
141,Terra Insólita 1º volume,Clifford D Simak,,1969,The Werewolf Principle,Eurico da Fonseca,,1967,142
142,Terra Insólita 2º volume,Clifford D Simak,,1969,The Werewolf Principle,Eurico da Fonseca,,1967,143
143,Planeta Proibido,Murray Leinster,,1969,This World is Taboo,Eurico da Fonseca,,1961,144
144,Homens sem Mundo,Poul Anderson,,1969,No World of Their Own,Eurico da Fonseca,,1955,145
145,Bomba H Sobre Los Angeles,Robert M Williams,,1969,The Day They H-Bombed Los Angeles,Eurico da Fonseca,,1961,146
146,Depois do Fim do Mundo,Poul Anderson,,1969,After Doomsday,Eurico da Fonseca,,1962,147
147,Partida sem Chegada,Lloyd Biggle Jr,,1969,All the Colours of Darkness,Eurico da Fonseca,,1963,148
148,O Tempo dos Duendes,Clifford D Simak,,1969,The Goblin Reservation,Eurico da Fonseca,,1968,149
149,Mundo Alternante,Keith Laumer,,1969,Worlds of the Imperium,Eurico da Fonseca,,1962,150
150,Sonho Mortal,E C Tubb,,1969,Death is a Dream,Eurico da Fonseca,,1967,151
151,Missão Impossível,Frederik Pohl,Jack Williamson,1970,The Reefs of Space,Eurico da Fonseca,,1964,152
152,Piratas do Espaço,Murray Leinster,,1970,The Pirates of Zan,Eurico da Fonseca,,1959,153
153,A Guerra dos Deuses,A E Van Vogt,,1970,Two Hundred Million A D,Eurico da Fonseca,,1943,154
154,Vieram do Espaço,Keith Roberts,,1970,The Furies,Eurico da Fonseca,,1966,155
155,Ultimato à Terra,Frederik Pohl,Jack Williamson,1970,Starchild,Eurico da Fonseca,,1965,156
156,Os Super-Homens,A E Van Vogt,,1970,The Silkie,Eurico da Fonseca,,1969,157
157,Plataforma Espacial,Murray Leinster,,1970,Unknown Danger,Eurico da Fonseca,,1969,158
158,Utopia 14 1º volume,Kurt Vonnegut,,1970,Player Piano,Eurico da Fonseca,,1952,159
159,Utopia 14 2º volume,Kurt Vonnegut,,1970,Player Piano,Eurico da Fonseca,,1952,160
160,Sangue da Terra,Keith Laumer,Rosel George Brown,1970,Earthblood,Eurico da Fonseca,,1966,161
161,O Construtor de Universos,Philip José Farmer,,1970,The Maker of Universes,Eurico da Fonseca,,1965,162
162,Areias de Marte,Arthur C Clarke,,1970,Sands of Mars,Eurico da Fonseca,,1951,163
163,Mundos Paralelos,Clifford D Simak,,1971,Out of Their Minds,Eurico da Fonseca,,1969,164
164,Loucura no Espaço,Murray Leinster,,1971,Doctor to the Stars,Eurico da Fonseca,,1964,165
165,O Caos Suicida,Edmund Cooper,,1971,All Fools' Day,Eurico da Fonseca,,1966,166
166,Segredo Interstelar,Alexei Panshin,,1971,Star Well,Eurico da Fonseca,,1968,167
167,Estrela Errante,Frederik Pohl,Jack Williamson,1971,Rogue Star,Eurico da Fonseca,,1969,168
168,A Guerra dos Fantasmas,Lloyd Biggle Jr,,1971,The Angry Espers,Eurico da Fonseca,,1961,169
169,Um Cântico para Leibowitz 1º volume,Walter M Miller Jr,,1971,A Canticle for Leibowitz,Eurico da Fonseca,,1959,170
170,Um Cântico para Leibowitz 2º volume,Walter M Miller Jr,,1971,A Canticle for Leibowitz,Eurico da Fonseca,,1959,171
171,Um Cântico para Leibowitz 3º volume,Walter M Miller Jr,,1971,A Canticle for Leibowitz,Eurico da Fonseca,,1959,172
172,Quando os Marcianos Vieram,Edmund Cooper,,1971,The Last Continent,Eurico da Fonseca,,1969,173
173,A Sete Degraus do Sol,Fred Hoyle,Geoffrey Hoyle,1971,Seven Steps to the Sun,Eurico da Fonseca,,1970,174
