Numero,Titulo,Autor,Co-autor,Ano-de-Publicacao,Titulo-original,Tradutor,Co-tradutor,Ano-de-edicao,alias,Autor2-alias,Tradutor1-alias,Tradutor2-alias,Titulo-link,Capa,pags,Capa-link,Serie,anterior,seguinte,Livro-isfdb,Livro-isfdb-original,Livro-bibliowiki
34,Guerra no Tempo,Clifford D Simak,,1956,Time and Again,Carlos Vieira,,1951,Clifford-D-Simak,,Carlos-Vieira,,34-Guerra-no-Tempo,Lima de Freitas,217,Lima-de-Freitas,,33-Fahrenheit-451,35-O-Homem-Demolido,http://www.isfdb.org/cgi-bin/pl.cgi?373298,http://www.isfdb.org/cgi-bin/title.cgi?273621,/index.php/Guerra_no_Tempo
35,O Homem Demolido,Alfred Bester,,1956,The Demolished Man,Carlos Vieira,,1951,Alfred-Bester,,Carlos-Vieira,,35-O-Homem-Demolido,Lima de Freitas,254,Lima-de-Freitas,,34-Guerra-no-Tempo,36-Os-Corsarios-do-Espaco,http://www.isfdb.org/cgi-bin/pl.cgi?373299,http://www.isfdb.org/cgi-bin/title.cgi?2122,/index.php/O_Homem_Demolido
36,Os Corsários do Espaço,Paul French,,1956,Lucky Starr and the Pirates of the Asteroids,Mário-Henrique Leiria,,1954,Paul-French,,Mario-Henrique-Leiria,,36-Os-Corsarios-do-Espaco,Lima de Freitas,169,Lima-de-Freitas,Lucky Starr,35-O-Homem-Demolido,37-As-Cavernas-de-Aco,http://www.isfdb.org/cgi-bin/pl.cgi?373300,http://www.isfdb.org/cgi-bin/title.cgi?9565,/index.php/Os_Cors%C3%A1rios_do_Espa%C3%A7o
37,As Cavernas de Aço,Isaac Asimov,,1956,The Caves of Steel,Mário-Henrique Leiria,,1954,Isaac-Asimov,,Mario-Henrique-Leiria,,37-As-Cavernas-de-Aco,Lima de Freitas,242,Lima-de-Freitas,Elijah Baley / R. Daneel Olivaw,36-Os-Corsarios-do-Espaco,38-A-Invasao-dos-Marcianos,http://www.isfdb.org/cgi-bin/pl.cgi?373406,http://www.isfdb.org/cgi-bin/title.cgi?2266,/index.php/As_Cavernas_de_A%C3%A7o
38,A Invasão dos Marcianos,Pierre Versins,,1957,En Avant Mars!,Álvaro de Azurara,,1955,Pierre-Versins,,Alvaro-de-Azurara,,38-A-Invasao-dos-Marcianos,Lima de Freitas,178,Lima-de-Freitas,,37-As-Cavernas-de-Aco,39-Estrela-Dupla,http://www.isfdb.org/cgi-bin/pl.cgi?373407,http://www.isfdb.org/cgi-bin/title.cgi?1037082,/index.php/A_Invas%C3%A3o_dos_Marcianos;_N%C3%A3o_Apontem_aos_Marcianos
39,Estrela Dupla,Robert A Heinlein,,1957,Double Star,H dos Santos Carvalho,,1955,Robert-A-Heinlein,,H-dos-Santos-Carvalho,,39-Estrela-Dupla,Lima de Freitas,224,Lima-de-Freitas,,38-A-Invasao-dos-Marcianos,40-O-Sindico,http://www.isfdb.org/cgi-bin/pl.cgi?373408,http://www.isfdb.org/cgi-bin/title.cgi?2080,/index.php/Estrela_Dupla
40,O Síndico,C M Kornbluth,,1957,The Syndic,H dos Santos Carvalho,,1953,C-M-Kornbluth,,H-dos-Santos-Carvalho,,40-O-Sindico,Lima de Freitas,239,Lima-de-Freitas,,39-Estrela-Dupla,41-Tiranos-da-Terra,http://www.isfdb.org/cgi-bin/pl.cgi?373409,http://www.isfdb.org/cgi-bin/title.cgi?1060,/index.php/O_S%C3%ADndico
41,Tiranos da Terra,Christian Russel,,1957,Les Voyants,Mário-Henrique Leiria,,1956,Christian-Russel,,Mario-Henrique-Leiria,,41-Tiranos-da-Terra,Lima de Freitas,201,Lima-de-Freitas,,40-O-Sindico,42-Mundos-Simultaneos,http://www.isfdb.org/cgi-bin/pl.cgi?373410,http://www.isfdb.org/cgi-bin/title.cgi?1037095,/index.php/Tiranos_da_Terra
42,Mundos Simultâneos,Clifford D Simak,,1957,Ring Around the Sun,Mário-Henrique Leiria,,1952,Clifford-D-Simak,,Mario-Henrique-Leiria,,42-Mundos-Simultaneos,Lima de Freitas,204,Lima-de-Freitas,,41-Tiranos-da-Terra,43-A-Cidade-da-Ciencia,http://www.isfdb.org/cgi-bin/pl.cgi?373411,http://www.isfdb.org/cgi-bin/title.cgi?3241,/index.php/Mundos_Simult%C3%A2neos
43,A Cidade da Ciência,Maurice Vernon,,1957,Les Savants Dans l'Aréne,Mário-Henrique Leiria,,1955,Maurice-Vernon,,Mario-Henrique-Leiria,,43-A-Cidade-da-Ciencia,Lima de Freitas,167,Lima-de-Freitas,,42-Mundos-Simultaneos,44-Historia-de-Dois-Mundos,http://www.isfdb.org/cgi-bin/pl.cgi?373412,http://www.isfdb.org/cgi-bin/title.cgi?1037088,/index.php/A_Cidade_da_Ci%C3%AAncia
44,História de Dois Mundos,John D MacDonald,,1958,Planet of the Dreamers,Mário-Henrique Leiria,,1951,John-D-MacDonald,,Mario-Henrique-Leiria,,44-Historia-de-Dois-Mundos,Lima de Freitas,219,Lima-de-Freitas,,43-A-Cidade-da-Ciencia,45-O-Decimo-Planeta,http://www.isfdb.org/cgi-bin/pl.cgi?373414,http://www.isfdb.org/cgi-bin/title.cgi?7582,/index.php/Hist%C3%B3ria_de_Dois_Mundos
45,O Décimo Planeta,C H Badet,,1958,La Dixième Planète,Mário-Henrique Leiria,,1954,C-H-Badet,,Mario-Henrique-Leiria,,45-O-Decimo-Planeta,Lima de Freitas,116,Lima-de-Freitas,,44-Historia-de-Dois-Mundos,46-Os-Marcianos-Divertem-se,http://www.isfdb.org/cgi-bin/pl.cgi?373417,http://www.isfdb.org/cgi-bin/title.cgi?1037059,/index.php/O_D%C3%A9cimo_Planeta_(Badet)
46,Os Marcianos Divertem-se,Fredric Brown,,1958,Martians Go Home,Mário-Henrique Leiria,,1955,Fredric-Brown,,Mario-Henrique-Leiria,,46-Os-Marcianos-Divertem-se,Lima de Freitas,197,Lima-de-Freitas,,45-O-Decimo-Planeta,47-Salto-no-Tempo,http://www.isfdb.org/cgi-bin/pl.cgi?373418,http://www.isfdb.org/cgi-bin/title.cgi?1560,/index.php/Os_Marcianos_Divertem-se
47,Salto no Tempo,Yves Dermèze,,1958,Via Velpa,Mário-Henrique Leiria,,1955,Yves-Dermèze,,Mario-Henrique-Leiria,,47-Salto-no-Tempo,Lima de Freitas,202,Lima-de-Freitas,,46-Os-Marcianos-Divertem-se,48-Mundo-de-Vampiros,http://www.isfdb.org/cgi-bin/pl.cgi?373419,http://www.isfdb.org/cgi-bin/title.cgi?1037086,/index.php/Salto_no_Tempo
48,Mundo de Vampiros,Richard Matheson,,1958,I Am Legend,Mário-Henrique Leiria,,1954,Richard-Matheson,,Mario-Henrique-Leiria,,48-Mundo-de-Vampiros,Lima de Freitas,203,Lima-de-Freitas,,47-Salto-no-Tempo,49-Vuzz,http://www.isfdb.org/cgi-bin/pl.cgi?373420,http://www.isfdb.org/cgi-bin/title.cgi?16515,/index.php/Mundo_de_Vampiros
49,Vuzz,P A Hourey,,1959,Vuzz,Mário-Henrique Leiria,,1955,P-A-Hourey,,Mario-Henrique-Leiria,,49-Vuzz,Lima de Freitas,147,Lima-de-Freitas,,48-Mundo-de-Vampiros,50-Os-Mares-de-Venus,http://www.isfdb.org/cgi-bin/pl.cgi?373421,http://www.isfdb.org/cgi-bin/title.cgi?1535145,/index.php/Vuzz...
50,Os Mares de Vénus,Paul French,,1959,Lucky Starr and the Oceans of Venus,Mário-Henrique Leiria,,1954,Paul-French,,Mario-Henrique-Leiria,,50-Os-Mares-de-Venus,Lima de Freitas,146,Lima-de-Freitas,Lucky Starr,49-Vuzz,51-A-Porta-do-Espaco,http://www.isfdb.org/cgi-bin/pl.cgi?373422,http://www.isfdb.org/cgi-bin/title.cgi?9566,/index.php/Os_Mares_de_V%C3%A9nus
51,A Porta do Espaço,Adrien Sobra,,1959,Portes Sur l'Inconnu,Mário-Henrique Leiria,,1956,Adrien-Sobra,,Mario-Henrique-Leiria,,51-A-Porta-do-Espaco,Lima de Freitas,156,Lima-de-Freitas,,50-Os-Mares-de-Venus,52-Atencao-aos-Robots,http://www.isfdb.org/cgi-bin/pl.cgi?373423,http://www.isfdb.org/cgi-bin/title.cgi?1711353,/index.php/A_Porta_do_Espa%C3%A7o
52,Atenção aos Robots!,Jean-Gaston Vandel,,1959,Alerte Aux Robots!,Mário-Henrique Leiria,,1952,Jean-Gaston-Vandel,,Mario-Henrique-Leiria,,52-Atencao-aos-Robots,Lima de Freitas,169,Lima-de-Freitas,,51-A-Porta-do-Espaco,53-A-Morte-da-Terra,http://www.isfdb.org/cgi-bin/pl.cgi?373424,http://www.isfdb.org/cgi-bin/title.cgi?1376542,/index.php/Aten%C3%A7%C3%A3o_aos_Robots!
53,A Morte da Terra,J H Rosny Aîné,,1959,La Mort de la Terre,Mário-Henrique Leiria,,1910,J-H-Rosny-Aine,,Mario-Henrique-Leiria,,53-A-Morte-da-Terra,Lima de Freitas,127,Lima-de-Freitas,,52-Atencao-aos-Robots,54-Regresso-a-Zero,http://www.isfdb.org/cgi-bin/pl.cgi?373425,http://www.isfdb.org/cgi-bin/title.cgi?2357403,/index.php/A_Morte_da_Terra_(Ain%C3%A9)
54,Regresso a Zero,Stefan Wul,,1959,Retour a O,Maria Adelaide Correia Freire,Raul Correia,1956,Stefan-Wul,,Maria-Adelaide-Correia-Freire,Raul-Correia,54-Regresso-a-Zero,Lima de Freitas,178,Lima-de-Freitas,,53-A-Morte-da-Terra,55-Os-Frutos-Dourados-do-Sol,http://www.isfdb.org/cgi-bin/pl.cgi?373426,http://www.isfdb.org/cgi-bin/title.cgi?1376545,/index.php/Regresso_a_Zero
55,Os Frutos Dourados do Sol,Ray Bradbury,,1960,The Golden Apples of the Sun,Mário-Henrique Leiria,,1950,Ray-Bradbury,,Mario-Henrique-Leiria,,55-Os-Frutos-Dourados-do-Sol,Lima de Freitas,183,Lima-de-Freitas,,54-Regresso-a-Zero,56-Pre-Historia-do-Futuro,http://www.isfdb.org/cgi-bin/pl.cgi?373427,http://www.isfdb.org/cgi-bin/title.cgi?38037,/index.php/Os_Frutos_Dourados_do_Sol_(colet%C3%A2nea)
56,Pré-História do Futuro,Stefan Wul,,1960,Niourk,Mário-Henrique Leiria,,1957,Stefan-Wul,,Mario-Henrique-Leiria,,56-Pre-Historia-do-Futuro,Lima de Freitas,200,Lima-de-Freitas,,55-Os-Frutos-Dourados-do-Sol,57-O-Robot-de-Jupiter-9,http://www.isfdb.org/cgi-bin/pl.cgi?373428,http://www.isfdb.org/cgi-bin/title.cgi?1178474,/index.php/Pr%C3%A9-Hist%C3%B3ria_do_Futuro
57,O Robot de Júpiter-9,Paul French,,1960,Lucky Starr and the Moons of Jupiter,Mário-Henrique Leiria,,1957,Paul-French,,Mario-Henrique-Leiria,,57-O-Robot-de-Jupiter-9,Lima de Freitas,135,Lima-de-Freitas,Lucky Starr,56-Pre-Historia-do-Futuro,58-A-Rainha-Rebelde,http://www.isfdb.org/cgi-bin/pl.cgi?373429,http://www.isfdb.org/cgi-bin/title.cgi?9568,/index.php/O_Robot_de_J%C3%BApiter-9
58,A Rainha Rebelde,L Sprague de Camp,,1960,Rogue Queen,Mário-Henrique Leiria,,1951,L-Sprague-de-Camp,,Mario-Henrique-Leiria,,58-A-Rainha-Rebelde,Lima de Freitas,206,Lima-de-Freitas,,57-O-Robot-de-Jupiter-9,59-Partida-Para-o-Espaco,http://www.isfdb.org/cgi-bin/pl.cgi?373430,http://www.isfdb.org/cgi-bin/title.cgi?3239,/index.php/A_Rainha_Rebelde
