Autor,alias
Bob Shaw,Bob-Shaw
Arthur C Clarke,Arthur-C-Clarke
Anne McCaffrey,Anne-McCaffrey
Anne McCaffrey,Anne-McCaffrey
Frederik Pohl,Frederik-Pohl
Yves Dermèze,Yves-Dermeze
Frederik Pohl,Frederik-Pohl
Gordon R Dickson,Gordon-R-Dickson
Isidore Haiblum,Isidore-Haiblum
Robert Asprin,Robert-Asprin
Robert Asprin,Robert-Asprin
Philip José Farmer,Philip-Jose-Farmer
Anne McCaffrey,Anne-McCaffrey
Edmund Cooper,Edmund-Cooper
Clifford D Simak,Clifford-D-Simak
Clifford D Simak,Clifford-D-Simak
Richard Matheson,Richard-Matheson
Brian Aldiss,Brian-Aldiss
Frederik Pohl,Frederik-Pohl
Frederik Pohl,Frederik-Pohl
James Blish,James-Blish
Isidore Haiblum,Isidore-Haiblum
Isidore Haiblum,Isidore-Haiblum
James Blish,James-Blish
Poul Anderson,Poul-Anderson
James Blish,James-Blish
James Blish,James-Blish
P A Hourey,P-A-Hourey
Brian Aldiss,Brian-Aldiss
James Blish,James-Blish
Gregory Benford,Gregory-Benford
Gregory Benford,Gregory-Benford
C J Cherryh,C-J-Cherryh
C J Cherryh,C-J-Cherryh
Gregory Benford,Gregory-Benford
Gregory Benford,Gregory-Benford
Brian Aldiss,Brian-Aldiss
Brian Aldiss,Brian-Aldiss
Jimmy Guieu,Jimmy-Guieu
Paul French,Paul-French
Frederik Pohl,Frederik-Pohl
Anne McCaffrey,Anne-McCaffrey
Isidore Haiblum,Isidore-Haiblum
Isidore Haiblum,Isidore-Haiblum
Robert Asprin,Robert-Asprin
Robert Asprin,Robert-Asprin
Brian Aldiss,Brian-Aldiss
Frank M Robinson,Frank-M-Robinson
Frank M Robinson,Frank-M-Robinson
Ray Bradbury,Ray-Bradbury
Adrien Sobra,Adrien-Sobra
Robert Asprin,Robert-Asprin
Robert Asprin,Robert-Asprin
Robert Silverberg,Robert-Silverberg
Poul Anderson,Poul-Anderson
James Blish,James-Blish
Hunt Collins,Hunt-Collins
Robert Sheckley,Robert-Sheckley
Ray Cummings,Ray-Cummings
Murray Leinster,Murray-Leinster
Bertram Chandler,Bertram-Chandler
Jean-Gaston Vandel,Jean-Gaston-Vandel
Poul Anderson,Poul-Anderson
Roger Zelazny,Roger-Zelazny
Murray Leinster,Murray-Leinster
C J Cherryh,C-J-Cherryh
Brian Aldiss,Brian-Aldiss
C J Cherryh,C-J-Cherryh
C J Cherryh,C-J-Cherryh
Roger Zelazny,Roger-Zelazny
C J Cherryh,C-J-Cherryh
C J Cherryh,C-J-Cherryh
J H Rosny Aîné,J-H-Rosny-Aine
Anne McCaffrey,Anne-McCaffrey
Anne McCaffrey,Anne-McCaffrey
James Blish,James-Blish
Anne McCaffrey,Anne-McCaffrey
Anne McCaffrey,Anne-McCaffrey
Tricia Sullivan,Tricia-Sullivan
Tricia Sullivan,Tricia-Sullivan
Anne McCaffrey,Anne-McCaffrey
Anne McCaffrey,Anne-McCaffrey
Maureen F McHugh,Maureen-F-McHugh
Stefan Wul,Stefan-Wul
Maureen F McHugh,Maureen-F-McHugh
Roger Zelazny,Roger-Zelazny
Robert Silverberg,Robert-Silverberg
Robert Silverberg,Robert-Silverberg
Brian Aldiss,Brian-Aldiss
Brian Aldiss,Brian-Aldiss
Roger Zelazny,Roger-Zelazny
Brian Aldiss,Brian-Aldiss
Brian Aldiss,Brian-Aldiss
Brian Aldiss,Brian-Aldiss
Ray Bradbury,Ray-Bradbury
Brian Aldiss,Brian-Aldiss
Pat Cadigan,Pat-Cadigan
Pat Cadigan,Pat-Cadigan
William Rollo,William-Rollo
Isidore Haiblum,Isidore-Haiblum
Bulwer Lytton,Bulwer-Lytton
Roger Zelazny,Roger-Zelazny
Roger Zelazny,Roger-Zelazny
Isidore Haiblum,Isidore-Haiblum
Roger Zelazny,Roger-Zelazny
Stefan Wul,Stefan-Wul
Isidore Haiblum,Isidore-Haiblum
Márcia Guimarães,Marcia-Guimaraes
Isidore Haiblum,Isidore-Haiblum
Frank Herbert,Frank-Herbert
Paul French,Paul-French
L Sprague de Camp,L-Sprague-de-Camp
C M Kornbluth,C-M-Kornbluth
Ray Bradbury,Ray-Bradbury
Stefan Wul,Stefan-Wul
Daniel Drode,Daniel-Drode
A E Van Vogt,A-E-Van-Vogt
Robert A Heinlein,Robert-A-Heinlein
Stefan Wul,Stefan-Wul
Charles Eric Maine,Charles-Eric-Maine
Kurt Steiner,Kurt-Steiner
Theodore Sturgeon,Theodore-Sturgeon
Fredric Brown,Fredric-Brown
E C Tubb,E-C-Tubb
F G Rayer,F-G-Rayer
Isaac Asimov,Isaac-Asimov
John Wyndham,John-Wyndham
Stefan Wul,Stefan-Wul
Leonid Onochko,Leonid-Onochko
E C Tubb,E-C-Tubb
Mordecai Roshwald,Mordecai-Roshwald
Stefan Wul,Stefan-Wul
John Wyndham,John-Wyndham
Clifford D Simak,Clifford-D-Simak
A Higon,A-Higon
Paul French,Paul-French
Francis Carsac,Francis-Carsac
Jean Hougron,Jean-Hougron
Gérard Klein,Gerard-Klein
Jérome Sériel,Jerome-Seriel
Fred Hoyle,Fred-Hoyle
Stefan Wul,Stefan-Wul
Isaac Asimov,Isaac-Asimov
Edmund Cooper,Edmund-Cooper
Jimmy Guieu,Jimmy-Guieu
Isaac Asimov,Isaac-Asimov
A E Van Vogt,A-E-Van-Vogt
Stefan Wul,Stefan-Wul
A E Van Vogt,A-E-Van-Vogt
Edmond Hamilton,Edmond-Hamilton
Ray Bradbury,Ray-Bradbury
Arthur C Clarke,Arthur-C-Clarke
Arthur C Clarke,Arthur-C-Clarke
Charles Eric Maine,Charles-Eric-Maine
Ray Bradbury,Ray-Bradbury
Fred Hoyle,Fred-Hoyle
Mordecai Roshwald,Mordecai-Roshwald
Lima de Freitas,Lima-de-Freitas
J Elliot,J-Elliot
Jack Williamson,Jack-Williamson
Jack Williamson,Jack-Williamson
Rosel George Brown,Rosel-George-Brown
Jack Williamson,Jack-Williamson
Geoffrey Hoyle,Geoffrey-Hoyle
C M Kornbluth,C-M-Kornbluth
C M Kornbluth,C-M-Kornbluth
C M Kornbluth,C-M-Kornbluth
